# name,node,ip,info
# containers in ubu-incus
puppetserver,lap-asus,,
saltmaster,lap-lenovo,,
sys-deb12-dev1,ubu-incus,,
sys-deb12-dev2,ubu-incus,,
sys-deb12-prod,ubu-incus,,
sys-deb13-dev1,ubu-incus,,
sys-deb13-dev2,ubu-incus,,
sys-deb13-prod,ubu-incus,,
sys-alma9-dev1,ubu-incus,,
sys-alma9-dev2,ubu-incus,,
sys-alma9-prod,ubu-incus,,
sys-ubu22-dev1,ubu-incus,,
sys-ubu22-dev2,ubu-incus,,
sys-ubu22-prod,ubu-incus,,
sys-ubu24-dev1,ubu-incus,,
sys-ubu24-dev2,ubu-incus,,
sys-ubu24-prod,ubu-incus,,
# containers in suse
sys-suse-dev1,suse,,
sys-suse-dev2,suse,,
sys-suse-prod,suse,,
